       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
     35.336     7.8170     7.8166   3.588654   3.588818     2.1691     1.0273     0.2924    4.98814     35.000    34.8154    34.8176    1482.06    4.98792  1027.3175  1027.3193      0.257    6.64305 0.0000e+00
     36.345     7.8148     7.8138   3.588502   3.588617     2.1676     1.0296     0.2902    4.98459     36.000    34.8154    34.8177    1482.07    4.98437  1027.3225  1027.3245      0.947    6.64338 0.0000e+00
     37.355     7.8158     7.8147   3.588642   3.588739     2.1675     1.0232     0.2859    4.98465     37.000    34.8155    34.8176    1482.09    4.98443  1027.3270  1027.3289      0.815    6.64323 0.0000e+00
     38.365     7.8165     7.8154   3.588723   3.588840     2.1666     1.0229     0.2848    4.98253     38.000    34.8152    34.8175    1482.11    4.98231  1027.3313  1027.3333      0.304    6.64314 0.0000e+00
     39.374     7.8098     7.8110   3.588184   3.588533     2.1661     1.0246     0.2853    4.98252     39.000    34.8156    34.8181    1482.10    4.98230  1027.3373  1027.3391      0.741    6.64415 0.0000e+00
     40.384     7.8028     7.8031   3.587571   3.587847     2.1656     0.9599     0.2826    4.98269     40.000    34.8154    34.8181    1482.09    4.98247  1027.3428  1027.3448      0.444    6.64522 0.0000e+00
     41.394     7.7926     7.7918   3.586723   3.586863     2.1643     0.9146     0.2751    4.98054     41.000    34.8160    34.8183    1482.07    4.98031  1027.3494  1027.3513      0.544    6.64674 0.0000e+00
     42.403     7.7856     7.7854   3.586157   3.586374     2.1629     0.8872     0.2657    4.97793     42.000    34.8163    34.8189    1482.06    4.97771  1027.3552  1027.3573      0.882    6.64779 0.0000e+00
     43.413     7.7821     7.7796   3.585871   3.585877     2.1619     0.8541     0.2611    4.97581     43.000    34.8162    34.8188    1482.06    4.97559  1027.3602  1027.3628      0.706    6.64832 0.0000e+00
     44.423     7.7443     7.7407   3.582568   3.582589     2.1605     0.8296     0.2576    4.97687     44.000    34.8179    34.8216    1481.93    4.97665  1027.3718  1027.3752      0.359    6.65402 0.0000e+00
     45.432     7.5718     7.5650   3.567503   3.567945     2.1561     0.7447     0.2502    4.98431     45.000    34.8268    34.8385    1481.30    4.98410  1027.4088  1027.4191      0.516    6.68003 0.0000e+00
     46.442     6.9205     6.9201   3.510917   3.514805     2.1475     0.6416     0.2434    5.03675     46.000    34.8635    34.9069    1478.85    5.03655  1027.5349  1027.5691      0.576    6.78010 0.0000e+00
     47.452     6.1389     6.1335   3.443331   3.444560     2.1255     0.4493     0.2235    5.06523     47.000    34.9082    34.9276    1475.86    5.06505  1027.6807  1027.6967      0.530    6.90322 0.0000e+00
     48.462     5.7846     5.7839   3.412403   3.413431     2.1024     0.2596     0.1783    5.03806     48.000    34.9236    34.9360    1474.49    5.03788  1027.7432  1027.7531      0.488    6.96061 0.0000e+00
     49.471     5.4926     5.4910   3.386487   3.387794     2.0876     0.2148     0.1444    5.02917     49.000    34.9305    34.9471    1473.35    5.02900  1027.7898  1027.8032      0.739    7.00887 0.0000e+00
     50.481     5.2088     5.2012   3.360841   3.361067     2.0761     0.1595     0.1246    5.02941     50.000    34.9312    34.9417    1472.22    5.02925  1027.8296  1027.8389      0.680    7.05667 0.0000e+00
     51.491     5.1400     5.1382   3.354337   3.354330     2.0604     0.1266     0.1116    4.98921     51.000    34.9275    34.9294    1471.95    4.98905  1027.8396  1027.8413      0.262    7.06851 0.0000e+00
     52.501     5.1064     5.1056   3.351342   3.351638     2.0529     0.1124     0.1048    4.97008     52.000    34.9275    34.9318    1471.83    4.96992  1027.8483  1027.8518      0.922    7.07422 0.0000e+00
     53.510     5.0748     5.0732   3.348441   3.348676     2.0507     0.1079     0.1014    4.96789     53.000    34.9265    34.9310    1471.72    4.96773  1027.8560  1027.8596      1.157    7.07965 0.0000e+00
     54.520     5.0740     5.0728   3.348416   3.348417     2.0478     0.1035     0.0992    4.95938     54.000    34.9265    34.9278    1471.73    4.95922  1027.8607  1027.8618      0.988    7.07979 0.0000e+00
     55.530     5.0815     5.0796   3.349017   3.349045     2.0443     0.0943     0.0981    4.94783     55.000    34.9251    34.9275    1471.78    4.94767  1027.8633  1027.8655      0.239    7.07857 0.0000e+00
     56.540     5.0418     5.0409   3.345280   3.345473     2.0408     0.0944     0.0977    4.94245     56.000    34.9229    34.9260    1471.63    4.94229  1027.8710  1027.8737      0.844    7.08546 0.0000e+00
     57.550     5.0582     5.0575   3.347075   3.347165     2.0378     0.0786     0.0949    4.93113     57.000    34.9259    34.9278    1471.72    4.93097  1027.8761  1027.8777      0.435    7.08251 0.0000e+00
     58.559     5.0458     5.0446   3.345848   3.346066     2.0353     0.0765     0.0936    4.92552     58.000    34.9242    34.9279    1471.68    4.92537  1027.8810  1027.8840      0.525    7.08472 0.0000e+00
     59.569     5.0360     5.0352   3.345156   3.345175     2.0340     0.0828     0.0926    4.92322     59.000    34.9259    34.9269    1471.66    4.92307  1027.8881  1027.8890      0.932    7.08630 0.0000e+00
     60.579     5.0354     5.0338   3.345202   3.345286     2.0337     0.0822     0.0917    4.92282     60.000    34.9265    34.9292    1471.67    4.92267  1027.8933  1027.8956      0.937    7.08638 0.0000e+00
     61.589     5.0375     5.0358   3.345397   3.345425     2.0326     0.0674     0.0916    4.91972     61.000    34.9261    34.9282    1471.70    4.91957  1027.8975  1027.8993      0.331    7.08604 0.0000e+00
     62.598     5.0641     5.0575   3.348266   3.347296     2.0305     0.0781     0.0913    4.91017     62.000    34.9309    34.9265    1471.83    4.91001  1027.9027  1027.9000      0.788    7.08128 0.0000e+00
     63.608     5.1281     5.1273   3.354955   3.354889     2.0309     0.0690     0.0917    4.90368     63.000    34.9406    34.9408    1472.12    4.90352  1027.9075  1027.9077      0.935    7.06991 0.0000e+00
     64.618     5.1289     5.1275   3.355171   3.355244     2.0302     0.0786     0.0906    4.90205     64.000    34.9418    34.9441    1472.14    4.90189  1027.9130  1027.9149      0.638    7.06973 0.0000e+00
     65.628     5.1228     5.1219   3.354783   3.354810     2.0258     0.0487     0.0909    4.88939     65.000    34.9432    34.9444    1472.13    4.88923  1027.9196  1027.9205      0.313    7.07071 0.0000e+00
     66.638     5.1473     5.1456   3.357555   3.357467     2.0253     0.0469     0.0897    4.88497     66.000    34.9490    34.9498    1472.25    4.88482  1027.9258  1027.9266      0.777    7.06626 0.0000e+00
     67.648     5.1418     5.1405   3.357107   3.357132     2.0244     0.0622     0.0894    4.88355     67.000    34.9491    34.9507    1472.25    4.88340  1027.9312  1027.9326      0.402    7.06720 0.0000e+00
     68.657     5.1417     5.1402   3.357155   3.357179     2.0231     0.0684     0.0888    4.87987     68.000    34.9492    34.9510    1472.26    4.87972  1027.9360  1027.9376      0.670    7.06722 0.0000e+00
     69.667     5.1300     5.1286   3.356110   3.356178     2.0217     0.0458     0.0883    4.87768     69.000    34.9488    34.9511    1472.23    4.87752  1027.9418  1027.9437      0.703    7.06922 0.0000e+00
     70.677     5.1316     5.1307   3.356334   3.356356     2.0195     0.0626     0.0881    4.87113     70.000    34.9493    34.9504    1472.25    4.87098  1027.9465  1027.9476      0.382    7.06893 0.0000e+00
     71.687     5.1371     5.1363   3.356989   3.357033     2.0199     0.0500     0.0882    4.87217     71.000    34.9505    34.9518    1472.30    4.87201  1027.9515  1027.9528      0.780    7.06793 0.0000e+00
     72.697     5.1320     5.1305   3.356534   3.356613     2.0190     0.0464     0.0886    4.87051     72.000    34.9501    34.9525    1472.29    4.87036  1027.9565  1027.9586      0.671    7.06883 0.0000e+00
     73.707     5.1120     5.1104   3.354728   3.354705     2.0164     0.0402     0.0886    4.86531     73.000    34.9496    34.9510    1472.22    4.86516  1027.9633  1027.9645      0.322    7.07225 0.0000e+00
     74.717     5.1216     5.1204   3.355930   3.356003     2.0160     0.0474     0.0885    4.86353     74.000    34.9529    34.9550    1472.28    4.86338  1027.9694  1027.9711      0.608    7.07046 0.0000e+00
     75.726     5.0716     5.0707   3.351119   3.351337     2.0154     0.0431     0.0877    4.86868     75.000    34.9491    34.9526    1472.09    4.86853  1027.9769  1027.9799      0.446    7.07915 0.0000e+00
     76.736     5.0537     5.0528   3.349492   3.349532     2.0132     0.0450     0.0877    4.86427     76.000    34.9485    34.9499    1472.04    4.86412  1027.9833  1027.9845      0.633    7.08224 0.0000e+00
     77.746     5.0310     5.0298   3.347396   3.347537     2.0125     0.0410     0.0873    4.86562     77.000    34.9475    34.9504    1471.96    4.86547  1027.9899  1027.9923      1.170    7.08615 0.0000e+00
     78.756     5.0078     5.0065   3.345185   3.345415     2.0121     0.0428     0.0876    4.86808     78.000    34.9456    34.9497    1471.88    4.86793  1027.9958  1027.9991      1.044    7.09021 0.0000e+00
     79.766     5.0115     5.0081   3.345475   3.345206     2.0118     0.0426     0.0883    4.86725     79.000    34.9446    34.9450    1471.91    4.86710  1027.9991  1028.0000      0.017    7.08962 0.0000e+00
     80.776     4.9877     4.9864   3.343327   3.343337     2.0117     0.0418     0.0880    4.87063     80.000    34.9441    34.9455    1471.83    4.87048  1028.0063  1028.0076      1.137    7.09371 0.0000e+00
     81.786     4.9868     4.9854   3.343292   3.343244     2.0109     0.0442     0.0874    4.86884     81.000    34.9441    34.9449    1471.84    4.86869  1028.0111  1028.0120      1.107    7.09387 0.0000e+00
     82.796     4.9895     4.9892   3.343729   3.343859     2.0104     0.0469     0.0872    4.86737     82.000    34.9458    34.9476    1471.87    4.86722  1028.0168  1028.0182      0.779    7.09333 0.0000e+00
     83.805     4.9763     4.9778   3.342443   3.342730     2.0096     0.0261     0.0872    4.86704     83.000    34.9442    34.9460    1471.83    4.86689  1028.0217  1028.0229      0.189    7.09566 0.0000e+00
     84.815     4.9630     4.9610   3.341240   3.341248     2.0098     0.0416     0.0870    4.86994     84.000    34.9436    34.9459    1471.79    4.86979  1028.0276  1028.0295      1.202    7.09796 0.0000e+00
     85.825     4.9553     4.9541   3.340568   3.340629     2.0097     0.0469     0.0868    4.87139     85.000    34.9433    34.9454    1471.78    4.87124  1028.0328  1028.0347      1.057    7.09929 0.0000e+00
     86.835     4.9476     4.9468   3.339837   3.339900     2.0089     0.0447     0.0868    4.87026     86.000    34.9424    34.9440    1471.76    4.87011  1028.0377  1028.0391      0.350    7.10065 0.0000e+00
     87.845     4.9441     4.9439   3.339570   3.339646     2.0091     0.0435     0.0871    4.87199     87.000    34.9424    34.9436    1471.76    4.87184  1028.0428  1028.0438      0.697    7.10125 0.0000e+00
     88.855     4.9456     4.9446   3.339772   3.339784     2.0089     0.0450     0.0868    4.87185     88.000    34.9428    34.9439    1471.78    4.87170  1028.0476  1028.0486      0.808    7.10099 0.0000e+00
     89.865     4.9451     4.9444   3.339854   3.339910     2.0085     0.0412     0.0868    4.87139     89.000    34.9436    34.9450    1471.80    4.87124  1028.0530  1028.0542      0.618    7.10103 0.0000e+00
     90.875     4.9376     4.9367   3.339240   3.339271     2.0083     0.0382     0.0863    4.87212     90.000    34.9438    34.9451    1471.79    4.87197  1028.0587  1028.0598      0.497    7.10230 0.0000e+00
     91.885     4.9362     4.9353   3.339139   3.339160     2.0071     0.0370     0.0868    4.86924     91.000    34.9436    34.9448    1471.80    4.86909  1028.0634  1028.0645      0.369    7.10255 0.0000e+00
     92.895     4.9346     4.9332   3.339040   3.339015     2.0061     0.0326     0.0869    4.86681     92.000    34.9436    34.9448    1471.81    4.86666  1028.0682  1028.0693      0.599    7.10283 0.0000e+00
     93.905     4.9329     4.9321   3.338915   3.338949     2.0055     0.0518     0.0869    4.86565     93.000    34.9434    34.9447    1471.81    4.86550  1028.0729  1028.0741      0.544    7.10313 0.0000e+00
     94.915     4.9319     4.9310   3.338891   3.338900     2.0050     0.0458     0.0861    4.86497     94.000    34.9436    34.9447    1471.83    4.86482  1028.0779  1028.0789      0.756    7.10329 0.0000e+00
     95.925     4.9306     4.9292   3.338831   3.338820     2.0047     0.0405     0.0867    4.86482     95.000    34.9438    34.9451    1471.84    4.86468  1028.0829  1028.0841      0.696    7.10351 0.0000e+00
     96.935     4.9343     4.9336   3.339307   3.339335     2.0039     0.0435     0.0870    4.86232     96.000    34.9449    34.9460    1471.87    4.86218  1028.0880  1028.0890      0.189    7.10283 0.0000e+00
     97.945     4.9360     4.9348   3.339575   3.339617     2.0039     0.0430     0.0870    4.86254     97.000    34.9456    34.9474    1471.90    4.86239  1028.0930  1028.0946      0.953    7.10249 0.0000e+00
     98.955     4.9253     4.9239   3.338604   3.338633     2.0038     0.0446     0.0865    4.86422     98.000    34.9451    34.9468    1471.87    4.86407  1028.0986  1028.1001      0.985    7.10436 0.0000e+00
     99.965     4.9228     4.9216   3.338393   3.338400     2.0028     0.0448     0.0862    4.86216     99.000    34.9448    34.9461    1471.87    4.86201  1028.1033  1028.1045      0.734    7.10481 0.0000e+00
    100.975     4.9238     4.9193   3.338486   3.338180     2.0023     0.0326     0.0869    4.86098    100.000    34.9442    34.9454    1471.89    4.86083  1028.1074  1028.1088      0.047    7.10466 0.0000e+00
    101.985     4.9171     4.9160   3.337950   3.337962     2.0025     0.0220     0.0869    4.86293    101.000    34.9444    34.9458    1471.88    4.86278  1028.1130  1028.1143      1.405    7.10579 0.0000e+00
    102.995     4.9165     4.9154   3.337923   3.337943     2.0025     0.0352     0.0872    4.86365    102.000    34.9442    34.9456    1471.90    4.86350  1028.1176  1028.1188      1.375    7.10590 0.0000e+00
    104.005     4.9153     4.9139   3.337840   3.337827     2.0023     0.0332     0.0872    4.86404    103.000    34.9440    34.9453    1471.91    4.86389  1028.1223  1028.1234      0.936    7.10613 0.0000e+00
    105.015     4.9166     4.9102   3.337938   3.337583     2.0017     0.0559     0.0873    4.86236    104.000    34.9432    34.9459    1471.93    4.86221  1028.1261  1028.1290     -0.001    7.10593 0.0000e+00
    106.025     4.8715     4.8700   3.333747   3.333738     2.0012     0.0463     0.0869    4.86731    105.000    34.9414    34.9428    1471.76    4.86717  1028.1348  1028.1360      1.369    7.11378 0.0000e+00
    107.035     4.8721     4.8710   3.333826   3.333821     2.0006     0.0421     0.0871    4.86582    106.000    34.9411    34.9422    1471.78    4.86567  1028.1390  1028.1400      1.561    7.11368 0.0000e+00
    108.045     4.8700     4.8693   3.333639   3.333735     2.0001     0.0462     0.0874    4.86517    107.000    34.9406    34.9424    1471.78    4.86502  1028.1436  1028.1450      1.551    7.11406 0.0000e+00
    109.055     4.8509     4.8494   3.331780   3.332097     2.0000     0.0457     0.0869    4.86802    108.000    34.9385    34.9438    1471.72    4.86788  1028.1488  1028.1532      1.357    7.11745 0.0000e+00
    110.065     4.8184     4.8175   3.328719   3.328809     1.9997     0.0380     0.0869    4.87175    109.000    34.9365    34.9385    1471.60    4.87160  1028.1558  1028.1575      0.977    7.12314 0.0000e+00
    111.075     4.8163     4.8153   3.328501   3.328504     1.9995     0.0357     0.0870    4.87206    110.000    34.9356    34.9367    1471.61    4.87191  1028.1599  1028.1609      0.631    7.12354 0.0000e+00
    112.085     4.8148     4.8134   3.328393   3.328361     2.0001     0.0294     0.0866    4.87498    111.000    34.9354    34.9365    1471.62    4.87483  1028.1647  1028.1656      0.747    7.12381 0.0000e+00
    113.095     4.8132     4.8120   3.328310   3.328327     2.0005     0.0461     0.0867    4.87683    112.000    34.9356    34.9370    1471.63    4.87669  1028.1696  1028.1709      0.889    7.12408 0.0000e+00
    114.105     4.8107     4.8097   3.328140   3.328170     2.0010     0.0392     0.0874    4.87942    113.000    34.9357    34.9371    1471.63    4.87927  1028.1747  1028.1759      1.077    7.12450 0.0000e+00
    115.115     4.8092     4.8091   3.328052   3.328120     2.0009     0.0432     0.0856    4.88019    114.000    34.9358    34.9366    1471.64    4.88005  1028.1796  1028.1803      1.261    7.12477 0.0000e+00
    116.125     4.8109     4.8109   3.328224   3.328367     2.0008     0.0432     0.0862    4.88014    115.000    34.9354    34.9370    1471.66    4.88000  1028.1837  1028.1851      1.369    7.12449 0.0000e+00
    117.135     4.7895     4.7895   3.326107   3.326826     2.0006     0.0262     0.0863    4.88308    116.000    34.9327    34.9411    1471.59    4.88293  1028.1888  1028.1954      1.361    7.12831 0.0000e+00
    118.145     4.7412     4.7403   3.321616   3.321659     2.0000     0.0252     0.0853    4.88795    117.000    34.9307    34.9321    1471.41    4.88780  1028.1975  1028.1987      1.191    7.13675 0.0000e+00
    119.155     4.7359     4.7355   3.321059   3.321136     1.9993     0.0327     0.0854    4.88694    118.000    34.9292    34.9305    1471.40    4.88679  1028.2017  1028.2028      0.789    7.13774 0.0000e+00
    120.165     4.7321     4.7313   3.320682   3.320714     1.9996     0.0297     0.0861    4.88901    119.000    34.9282    34.9295    1471.40    4.88887  1028.2059  1028.2070      0.547    7.13843 0.0000e+00
    121.176     4.7408     4.7401   3.321769   3.321787     2.0002     0.0320     0.0853    4.89051    120.000    34.9312    34.9322    1471.45    4.89037  1028.2120  1028.2129      1.165    7.13679 0.0000e+00
    122.186     4.7422     4.7409   3.321977   3.321906     2.0006     0.0474     0.0855    4.89206    121.000    34.9316    34.9322    1471.48    4.89192  1028.2168  1028.2174      1.570    7.13653 0.0000e+00
    123.196     4.7422     4.7409   3.322014   3.322051     2.0009     0.0390     0.0856    4.89384    122.000    34.9315    34.9333    1471.49    4.89370  1028.2214  1028.2230      1.701    7.13654 0.0000e+00
    124.206     4.7350     4.7336   3.321373   3.321444     2.0012     0.0421     0.0853    4.89625    123.000    34.9311    34.9333    1471.48    4.89611  1028.2266  1028.2285      1.587    7.13780 0.0000e+00
    125.216     4.7269     4.7256   3.320680   3.320727     2.0006     0.0418     0.0852    4.89622    124.000    34.9310    34.9329    1471.46    4.89607  1028.2322  1028.2339      1.201    7.13921 0.0000e+00
    126.226     4.7207     4.7195   3.320159   3.320178     2.0001     0.0325     0.0855    4.89601    125.000    34.9308    34.9324    1471.45    4.89587  1028.2374  1028.2388      0.598    7.14028 0.0000e+00
    127.236     4.7112     4.7100   3.319314   3.319372     1.9994     0.0431     0.0854    4.89546    126.000    34.9305    34.9324    1471.43    4.89532  1028.2429  1028.2446      0.835    7.14195 0.0000e+00
    128.246     4.7040     4.7028   3.318781   3.318807     1.9994     0.0431     0.0851    4.89707    127.000    34.9313    34.9329    1471.42    4.89692  1028.2490  1028.2505      1.068    7.14315 0.0000e+00
    129.256     4.6934     4.6921   3.317833   3.317911     1.9991     0.0419     0.0858    4.89792    128.000    34.9308    34.9331    1471.39    4.89778  1028.2545  1028.2566      0.995    7.14501 0.0000e+00
    130.267     4.6819     4.6797   3.316775   3.316722     1.9982     0.0414     0.0860    4.89729    129.000    34.9300    34.9318    1471.36    4.89715  1028.2600  1028.2616      0.939    7.14704 0.0000e+00
    131.277     4.6741     4.6724   3.316069   3.316079     1.9975     0.0423     0.0850    4.89666    130.000    34.9295    34.9314    1471.34    4.89651  1028.2651  1028.2668      1.140    7.14843 0.0000e+00
    132.287     4.6643     4.6631   3.315184   3.315280     1.9972     0.0413     0.0849    4.89741    131.000    34.9289    34.9314    1471.32    4.89727  1028.2705  1028.2726      1.354    7.15015 0.0000e+00
    133.297     4.6471     4.6456   3.313594   3.313766     1.9967     0.0293     0.0852    4.89889    132.000    34.9279    34.9315    1471.26    4.89875  1028.2764  1028.2793      1.383    7.15319 0.0000e+00
    134.307     4.6318     4.6306   3.312211   3.312250     1.9966     0.0334     0.0850    4.90111    133.000    34.9273    34.9291    1471.21    4.90097  1028.2823  1028.2838      1.172    7.15587 0.0000e+00
    135.317     4.6376     4.6368   3.312977   3.312979     1.9961     0.0438     0.0856    4.89939    134.000    34.9296    34.9305    1471.26    4.89925  1028.2882  1028.2889      0.719    7.15475 0.0000e+00
    136.327     4.6650     4.6637   3.315903   3.315639     1.9960     0.0275     0.0848    4.89585    135.000    34.9344    34.9327    1471.39    4.89570  1028.2935  1028.2922      0.780    7.14977 0.0000e+00
    137.338     4.6820     4.6812   3.317724   3.317809     1.9962     0.0404     0.0848    4.89480    136.000    34.9372    34.9391    1471.48    4.89466  1028.2983  1028.2999      1.230    7.14668 0.0000e+00
    138.348     4.6741     4.6730   3.317048   3.317092     1.9962     0.0439     0.0847    4.89674    137.000    34.9372    34.9389    1471.46    4.89660  1028.3040  1028.3054      1.309    7.14807 0.0000e+00
    139.358     4.6722     4.6709   3.316915   3.316936     1.9954     0.0269     0.0847    4.89476    138.000    34.9371    34.9386    1471.47    4.89461  1028.3087  1028.3102      1.168    7.14840 0.0000e+00
    140.368     4.6712     4.6701   3.316862   3.316885     1.9944     0.0378     0.0845    4.89247    139.000    34.9370    34.9384    1471.49    4.89233  1028.3135  1028.3147      0.826    7.14858 0.0000e+00
    141.378     4.6688     4.6677   3.316694   3.316725     1.9928     0.0429     0.0863    4.88807    140.000    34.9370    34.9385    1471.49    4.88793  1028.3185  1028.3197      0.702    7.14900 0.0000e+00
    142.389     4.6639     4.6630   3.316308   3.316343     1.9913     0.0388     0.0843    4.88459    141.000    34.9371    34.9385    1471.49    4.88445  1028.3237  1028.3250      1.050    7.14984 0.0000e+00
    143.399     4.6632     4.6615   3.316334   3.316341     1.9903     0.0433     0.0836    4.88186    142.000    34.9376    34.9395    1471.50    4.88171  1028.3290  1028.3306      1.268    7.14994 0.0000e+00
